ori_tissue,ori_cell_type,search_result
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart muscle,neuron,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,regulatory t(treg) cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,t helper 2(th2) cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,regulatory t(treg) cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,regulatory t(treg) cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,regulatory t(treg) cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
